статья	395.00	8.63
оно	394.70	8.62
число	393.50	8.62
компания	392.70	8.62
про	392.10	8.62
государственный	391.30	8.61
полный	390.60	8.61
принять	386.90	8.60
народ	385.60	8.59
никакой	383.70	8.58
советский	382.90	8.58
жена	376.80	8.56
настоящий	374.00	8.55
всякий	373.20	8.54
группа	372.80	8.54
развитие	372.60	8.54
процесс	371.70	8.54
суд	371.10	8.54
давать	370.70	8.53
ответить	370.40	8.53
старый	368.50	8.53
условие	368.10	8.52
твой	366.60	8.52
пока	366.30	8.52
средство	363.90	8.51
помнить	363.10	8.50
начало	361.40	8.50
ждать	360.20	8.49
свет	359.70	8.49
пора	358.20	8.48
путь	357.30	8.48
душа	356.80	8.48
куда	355.40	8.47
нужно	353.70	8.47
разный	352.60	8.46
нужный	351.90	8.46
уровень	348.50	8.45
иной	348.30	8.44
форма	347.80	8.44
связь	346.10	8.44
уж	344.40	8.43
минута	344.20	8.43
кроме	343.60	8.42
находиться	342.70	8.42
опять	342.20	8.42
многий	340.90	8.41
белый	339.60	8.41
собственный	338.30	8.40
улица	337.80	8.40
черный	337.50	8.40
написать	336.20	8.39
вечер	335.40	8.39
снова	334.40	8.39
основной	334.10	8.38
качество	331.70	8.37
мысль	331.60	8.37
дорога	330.10	8.37
мать	330.10	8.37
действие	329.30	8.36
месяц	328.00	8.36
оставаться	327.40	8.35
государство	326.40	8.35
язык	324.90	8.34
любовь	323.90	8.34
взгляд	323.80	8.34
мама	322.60	8.33
играть	319.10	8.32
далекий	318.30	8.31
лежать	318.10	8.31
нельзя	317.70	8.31
век	317.40	8.31
школа	316.00	8.30
подумать	315.60	8.30
уйти	315.60	8.30
цель	315.50	8.30
среди	314.90	8.30
общество	314.70	8.30
посмотреть	314.20	8.30
деятельность	313.50	8.29
организация	312.40	8.29
кто-то	312.00	8.29
вернуться	311.20	8.28
президент	311.00	8.28
комната	310.70	8.28
порядок	307.60	8.26
момент	306.80	8.26
театр	305.30	8.25
следовать	305.10	8.25
читать	304.40	8.25
письмо	304.30	8.25
подобный	301.60	8.24
следующий	301.40	8.24
утро	301.30	8.24
особенно	300.30	8.23
помощь	300.10	8.23
ситуация	298.80	8.22
роль	297.90	8.22
бывать	297.30	8.22
ходить	296.60	8.21
рубль	296.40	8.21
начинать	296.00	8.21
появиться	294.60	8.20
смысл	294.60	8.20
состояние	294.40	8.20
называть	293.40	8.20
рядом	291.80	8.19
квартира	290.90	8.18
назад	290.70	8.18
равный	289.70	8.18
из-за	289.60	8.18
орган	288.40	8.17
внимание	286.00	8.16
тело	285.90	8.16
труд	285.90	8.16
прийтись	285.50	8.16
хотеться	285.30	8.16
сын	285.10	8.16
мера	284.30	8.15
пять	284.30	8.15
смерть	284.10	8.15
живой	284.00	8.15
рынок	283.30	8.15
программа	282.60	8.14
задача	282.40	8.14
предприятие	281.60	8.14
известный	281.10	8.13
окно	280.80	8.13
вести	280.30	8.13
совершенно	280.30	8.13
военный	278.70	8.12
разговор	278.30	8.12
показать	277.70	8.12
правительство	277.70	8.12
важный	277.00	8.11
семья	276.60	8.11
великий	276.30	8.11
