abs_tf	ipm_collection	ipm_freq	ipm_tf	tfidf	word
0.007258064516129033	70.59607930292908	1.0	7258.064516129032	0.2472158649020566	педофил
0.013709677419354839	943.8957269762	371.1	13709.677419354839	0.23662130834591755	суд
0.00564516129032258	141.19215860585817	185.1	5645.1612903225805	0.15683440241099703	девочка
0.004838709677419355	270.6183039945615	96.7	4838.709677419355	0.10407923862086935	заседание
0.0032258064516129032	48.371387670525486	43.5	3225.8064516129034	0.09949146338621769	эпизод
0.00564516129032258	937.3590529666695	433.4	5645.1612903225805	0.08621309501763894	закон
0.0008064516129032258	3.922004405718283	6.6	806.4516129032259	0.03499475550997137	сауна
0.0008064516129032258	3.922004405718283	2.4	806.4516129032259	0.03499475550997137	утеха
0.0008064516129032258	580.4566520463057	1713.8	806.4516129032259	0.012332801636718172	знать
0.0008064516129032258	802.7035683703418	1389.8	806.4516129032259	0.011445925978798661	жизнь
