abs_tf	ipm_collection	ipm_freq	ipm_tf	tfidf	word
0.012903225806451613	70.59607930292908	0.0	12903.225806451614	0.5133415285920233	куваев
0.007258064516129033	70.59607930292908	1.0	7258.064516129032	0.2472158649020566	педофил
0.013709677419354839	943.8957269762	371.1	13709.677419354839	0.23662130834591755	суд
0.004838709677419355	19.610022028591413	0.0	4838.709677419355	0.20996853305982824	куваева
0.00564516129032258	141.19215860585817	185.1	5645.1612903225805	0.15683440241099703	девочка
0.004838709677419355	271.9256387964676	126.1	4838.709677419355	0.1085857526974657	судебный
0.004838709677419355	270.6183039945615	96.7	4838.709677419355	0.10407923862086935	заседание
0.0032258064516129032	48.371387670525486	43.5	3225.8064516129034	0.09949146338621769	эпизод
0.00564516129032258	913.8270265323598	658.3	5645.1612903225805	0.09439626596979718	ребенок
0.0032258064516129032	70.59607930292908	7.5	3225.8064516129034	0.093692415965911	трансляция
0.004032258064516129	309.83834805174433	33.5	4032.258064516129	0.09259093759998199	законопроект
0.012096774193548387	5277.710595294902	3727.5	12096.774193548386	0.09256793061373549	год
0.0024193548387096775	14.380682820967035	4.3	2419.3548387096776	0.09232980839279402	изнасилование
0.0	1.3073348019060942	0.0	0.0	0.09232980839279402	аудио
0.0008064516129032258	33.99070484955845	0.0	806.4516129032259	0.09068567156321795	спамер
0.00564516129032258	937.3590529666695	433.4	5645.1612903225805	0.08621309501763894	закон
0.0032258064516129032	134.6554845963277	47.9	3225.8064516129034	0.08261885253672421	леонид
0.0024193548387096775	41.834713660995014	12.5	2419.3548387096776	0.07910783800677376	несовершеннолетний
0.0032258064516129032	264.08162998503104	35.2	3225.8064516129034	0.0740727500799856	мвд
0.0024193548387096775	57.52273128386814	3.5	2419.3548387096776	0.07303029213622414	видеозапись
0.0024193548387096775	77.13275331245956	10.1	2419.3548387096776	0.07303029213622414	генпрокуратура
0.004032258064516129	350.36572691083325	97.8	4032.258064516129	0.07183695240785556	приводить
0.004838709677419355	1158.2986344887995	91.0	4838.709677419355	0.07122291084499667	известие
0.0016129032258064516	7.844008811436566	0.0	1612.9032258064517	0.06998951101994275	головко
0.0016129032258064516	6.536674009530471	3.0	1612.9032258064517	0.06998951101994275	снисхождение
0.0016129032258064516	7.844008811436566	0.0	1612.9032258064517	0.06998951101994275	стенографирование
0.0016129032258064516	6.536674009530471	1.8	1612.9032258064517	0.06998951101994275	воспитанница
0.0024193548387096775	86.28409692580222	38.7	2419.3548387096776	0.06985315752668536	приговор
0.0016129032258064516	10.458678415248754	0.0	1612.9032258064517	0.06766809406592567	игошин
0.0016129032258064516	7.844008811436566	2.4	1612.9032258064517	0.06766809406592567	оргия
0.0024193548387096775	104.58678415248754	49.9	2419.3548387096776	0.0662076288543424	верховный
0.0016129032258064516	19.610022028591413	5.9	1612.9032258064517	0.06577135830756937	малолетний
0.0024193548387096775	128.11881058679722	61.2	2419.3548387096776	0.06466132850172815	следователь
0.0016129032258064516	18.302687226685318	40.9	1612.9032258064517	0.06277853132949571	половой
0.0016129032258064516	11.766013217154848	4.4	1612.9032258064517	0.06277853132949571	проституция
0.0024193548387096775	201.3295594935385	85.2	2419.3548387096776	0.06246756586544239	судья
0.0032258064516129032	573.9199780367753	108.7	3225.8064516129034	0.06124332099312962	депутат
0.0032258064516129032	298.07233483458947	190.9	3225.8064516129034	0.06112543688583752	требовать
0.0064516129032258064	2714.0270487570515	952.2	6451.612903225807	0.06063966348999717	россия
